Date,Open,High,Low,Close,Volume
2009-01-30,21.07999992370605,22.399999618530277,20.5,20.68000030517578,63513823
2009-02-06,20.07999992370605,20.79199981689453,18.170000076293945,19.450000762939453,148293520
2009-02-13,19.81999969482422,19.81999969482422,18.030000686645508,18.520000457763672,88986508
2009-02-20,18.06999969482422,18.11000061035156,17.1299991607666,17.530000686645508,83212106
2009-02-27,17.709999084472656,18.149999618530277,16.420000076293945,16.770000457763672,79042019
2009-03-06,16.479999542236328,17.219999313354492,15.31999969482422,15.829999923706056,90131637
2009-03-13,15.479999542236328,17.639999389648438,15.140000343322754,17.1299991607666,88109081
2009-03-20,17.270000457763672,18.3700008392334,17.079999923706055,17.450000762939453,81755647
2009-03-27,17.829999923706055,19.13999938964844,17.739999771118164,18.59000015258789,77986326
2009-04-03,18.1200008392334,20.5,17.538000106811523,20.0,84462194
2009-04-09,19.780000686645508,20.06999969482422,19.0,19.8799991607666,49186223
2009-04-17,19.600000381469727,20.700000762939453,18.799999237060547,20.3799991607666,72290824
2009-04-24,20.0,20.459999084472656,19.0,20.26000022888184,72487511
2009-05-01,19.6200008392334,22.56999969482422,19.309999465942383,21.940000534057617,121611564
2009-05-08,22.01000022888184,26.290000915527344,21.84000015258789,25.459999084472656,126402957
2009-05-15,25.11000061035156,25.170000076293945,23.270000457763672,23.40999984741211,77134321
2009-05-22,23.6200008392334,24.399999618530277,22.93000030517578,23.700000762939453,55518741
2009-05-29,23.46999931335449,24.71999931335449,23.3799991607666,24.21999931335449,54811322
2009-06-05,24.82999992370605,25.549999237060547,24.75,24.950000762939453,55177128
2009-06-12,24.940000534057617,25.63999938964844,24.520000457763672,25.059999465942383,47944766
2009-06-19,24.780000686645508,24.780000686645508,23.36000061035156,23.530000686645508,52952191
2009-06-26,23.190000534057617,23.729999542236328,22.549999237060547,23.43000030517578,55907578
2009-07-02,23.5,23.93000030517578,22.56999969482422,22.84000015258789,42205421
2009-07-10,22.68000030517578,23.21999931335449,22.049999237060547,22.40999984741211,65114041
2009-07-17,22.489999771118164,24.989999771118164,22.06999969482422,24.51000022888184,56890750
2009-07-24,24.979999542236328,26.84000015258789,24.770000457763672,26.57999992370605,61413563
2009-07-31,26.549999237060547,26.700000762939453,25.040000915527344,25.1200008392334,74577338
2009-08-07,25.520000457763672,26.82999992370605,24.989999771118164,26.690000534057617,64014265
2009-08-14,26.420000076293945,26.540000915527344,25.540000915527344,25.86000061035156,45491514
2009-08-21,25.3799991607666,26.86000061035156,24.88999938964844,26.790000915527344,53998486
